neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,neighbourhood_density,Entire home/apt,Private room,Shared room,Hotel room,price_avg
49,41.88575,-87.65052,0,140,60,0,0,73,365,314,222,0,89,3,187.6081081081081
38,41.93283,-87.64315,0,182,1,152,2,1,365,312,257,0,51,4,199.6614785992218
60,42.004,-87.67503,2,81,3,27,1,3,364,123,69,0,52,2,63.88461538461539
41,41.86991,-87.62856,0,229,3,23,1,1,0,366,331,3,31,1,175.2688821752266
7,41.94663,-87.70783,0,49,2,242,4,4,278,146,107,0,34,5,160.33644859813083
48,41.85453,-87.62052,0,200,60,14,1,73,365,142,113,0,29,0,172.92920353982302
38,41.93101,-87.65878,2,107,1,183,3,1,354,312,257,0,51,4,106.76470588235294
37,41.94432,-87.65988,0,349,1,12,1,6,337,527,394,10,105,18,255.4746192893401
37,41.94993,-87.66173,0,249,3,31,1,6,296,527,394,10,105,18,255.4746192893401
37,41.94943,-87.66129,0,349,2,36,1,6,282,527,394,10,105,18,255.4746192893401
40,41.92118,-87.68678,2,75,1,198,3,2,89,387,304,0,81,2,73.61728395061728
75,41.89278,-87.66131,2,36,3,188,3,1,136,714,488,18,204,4,159.26470588235293
47,41.89975,-87.62785,0,150,5,34,1,1,70,672,569,38,63,2,210.493848857645
74,41.98864,-87.69345,2,45,30,23,1,2,316,66,31,0,29,6,52.172413793103445
75,41.8967,-87.65734,0,175,2,147,2,2,351,714,488,18,204,4,191.13319672131146
55,41.82926,-87.60859,2,63,1,208,3,4,361,16,8,0,8,0,60.875
37,41.93395,-87.63923,2,75,1,137,2,2,188,527,394,10,105,18,182.5142857142857
19,41.88745,-87.70784,0,81,1,424,6,5,343,93,36,0,57,0,120.55555555555556
54,41.99462,-87.7795,0,95,1,173,3,1,318,29,12,0,15,2,92.5
42,41.84828,-87.68021,2,70,2,139,2,3,361,189,119,0,68,2,94.72058823529412
75,41.89984,-87.6764,0,100,5,46,1,1,78,714,488,18,204,4,191.13319672131146
40,41.9206,-87.67726,0,125,32,52,1,2,173,387,304,0,81,2,159.0559210526316
38,41.91944,-87.65894,0,140,365,2,1,2,263,312,257,0,51,4,199.6614785992218
36,41.80379,-87.60386,2,42,2,21,1,12,109,42,25,0,17,0,74.88235294117646
37,41.94594,-87.65431,1,108,1,53,1,5,364,527,394,10,105,18,94.9
37,41.94594,-87.65431,1,30,1,311,5,5,294,527,394,10,105,18,94.9
75,41.90669,-87.68283,0,114,2,158,2,1,0,714,488,18,204,4,191.13319672131146
75,41.89648,-87.65651,0,154,1,364,5,14,347,714,488,18,204,4,191.13319672131146
49,41.86756,-87.68662,2,81,1,51,1,3,324,314,222,0,89,3,61.337078651685395
49,41.8877,-87.64276,0,150,60,7,1,73,365,314,222,0,89,3,187.6081081081081
37,41.93501,-87.64819,2,113,1,15,1,1,254,527,394,10,105,18,182.5142857142857
57,41.96703,-87.75087,2,175,2,67,1,1,363,83,58,0,25,0,61.12
42,41.85105,-87.67942,2,60,30,128,2,2,78,189,119,0,68,2,94.72058823529412
39,41.96293,-87.69358,0,80,2,175,3,1,122,89,69,0,20,0,127.30434782608695
33,41.79667,-87.58998,2,65,10,3,1,2,89,93,51,0,42,0,85.71428571428571
47,41.89009,-87.62304,0,140,31,4,1,73,365,672,569,38,63,2,210.493848857645
75,41.90006,-87.68096,0,69,5,153,2,1,35,714,488,18,204,4,191.13319672131146
36,41.81207,-87.60417,0,60,3,18,1,1,0,42,25,0,17,0,188.84
47,41.89076,-87.62277,0,225,31,4,1,73,365,672,569,38,63,2,210.493848857645
47,41.90143,-87.63273,0,48,30,4,1,2,7,672,569,38,63,2,210.493848857645
66,41.97487,-87.67027,2,48,2,285,4,1,360,169,103,3,63,0,87.17460317460318
75,41.89907,-87.68085,2,55,2,192,3,2,0,714,488,18,204,4,159.26470588235293
19,41.88342,-87.69618,2,30,3,128,2,2,167,93,36,0,57,0,49.75438596491228
68,41.79599,-87.62355,2,80,2,82,2,1,364,33,9,0,23,1,81.78260869565217
42,41.8579,-87.65104,2,65,2,220,3,1,89,189,119,0,68,2,94.72058823529412
34,41.95163,-87.71651,0,160,2,3,1,1,0,154,83,0,67,4,169.0
52,41.85448,-87.70787,2,45,2,6,1,4,179,29,8,0,20,1,36.85
48,41.8537,-87.62338,0,120,60,16,1,73,365,142,113,0,29,0,172.92920353982302
75,41.90772,-87.68121,0,93,40,20,1,1,245,714,488,18,204,4,191.13319672131146
36,41.80458,-87.60508,2,35,20,25,1,12,364,42,25,0,17,0,74.88235294117646
33,41.78977,-87.58916,0,125,1,104,2,2,0,93,51,0,42,0,94.86274509803921
74,41.98681,-87.69806,0,136,1,7,1,1,83,66,31,0,29,6,131.6451612903226
38,41.91755,-87.63592,0,161,1,461,6,3,0,312,257,0,51,4,199.6614785992218
66,41.96821,-87.65626,0,975,2,125,2,5,360,169,103,3,63,0,183.90291262135923
41,41.88618,-87.61888,0,120,31,25,1,73,365,366,331,3,31,1,175.2688821752266
21,41.98705,-87.66228,2,80,4,83,2,1,352,170,98,0,70,2,83.51428571428572
48,41.85211,-87.6216,0,200,90,6,1,73,365,142,113,0,29,0,172.92920353982302
49,41.86759,-87.68204,2,87,1,31,1,3,324,314,222,0,89,3,61.337078651685395
40,41.91432,-87.6737,0,145,1,100,3,1,6,387,304,0,81,2,159.0559210526316
38,41.93227,-87.64879,0,106,1,109,3,1,5,312,257,0,51,4,199.6614785992218
48,41.85445,-87.62432,0,100,31,15,1,73,365,142,113,0,29,0,172.92920353982302
45,41.68612,-87.67735,0,79,2,133,2,2,24,5,4,0,1,0,103.25
45,41.68582,-87.68067,0,89,30,140,3,2,307,5,4,0,1,0,103.25
60,42.00598,-87.67211,0,80,2,146,2,1,205,123,69,0,52,2,152.69565217391303
38,41.92985,-87.64353,0,124,3,74,1,1,365,312,257,0,51,4,199.6614785992218
37,41.94278,-87.67221,0,289,3,13,1,4,365,527,394,10,105,18,255.4746192893401
48,41.85235,-87.6216,0,200,60,8,1,73,364,142,113,0,29,0,172.92920353982302
18,41.94435,-87.79969,2,33,2,18,1,4,365,26,10,0,16,0,56.5625
48,41.85441,-87.62151,0,135,31,7,1,73,365,142,113,0,29,0,172.92920353982302
47,41.89098,-87.62238,0,145,32,5,1,73,365,672,569,38,63,2,210.493848857645
51,41.94795,-87.68314,0,119,2,169,3,2,348,134,122,0,11,1,172.98360655737704
75,41.89425,-87.68468,0,78,28,147,2,4,323,714,488,18,204,4,191.13319672131146
55,41.82872,-87.60826,2,53,1,194,3,4,352,16,8,0,8,0,60.875
75,41.90243,-87.67028,0,172,2,98,3,1,144,714,488,18,204,4,191.13319672131146
41,41.88766,-87.61754,0,220,32,5,1,73,365,366,331,3,31,1,175.2688821752266
7,41.93758,-87.7124,2,78,1,249,4,2,356,146,107,0,34,5,64.08823529411765
49,41.88523,-87.65195,2,136,4,57,1,2,328,314,222,0,89,3,61.337078651685395
72,41.78355,-87.72894,2,34,1,307,5,2,363,9,3,0,6,0,31.666666666666668
75,41.9044,-87.67145,0,159,1,269,4,1,0,714,488,18,204,4,191.13319672131146
38,41.92049,-87.65789,0,200,28,6,1,1,316,312,257,0,51,4,199.6614785992218
65,41.77293,-87.56951,0,70,32,245,4,1,295,90,41,0,48,1,128.26829268292684
47,41.90263,-87.64155,2,100,1,71,1,2,0,672,569,38,63,2,141.74603174603175
40,41.91548,-87.67451,0,64,1,278,4,1,116,387,304,0,81,2,159.0559210526316
48,41.85298,-87.62761,2,85,1,499,7,1,152,142,113,0,29,0,93.17241379310344
39,41.96315,-87.6804,0,150,3,95,2,1,294,89,69,0,20,0,127.30434782608695
51,41.94425,-87.68671,0,74,1,20,1,1,0,134,122,0,11,1,172.98360655737704
49,41.86823,-87.68483,2,97,1,24,1,3,203,314,222,0,89,3,61.337078651685395
60,42.00529,-87.67761,0,130,3,44,1,1,365,123,69,0,52,2,152.69565217391303
42,41.85683,-87.65249,0,55,1,436,6,11,363,189,119,0,68,2,113.11764705882354
55,41.82875,-87.60826,2,63,1,258,4,4,356,16,8,0,8,0,60.875
40,41.91704,-87.69375,0,1157,2,50,1,10,358,387,304,0,81,2,159.0559210526316
0,41.96697,-87.70906,0,106,3,13,1,1,89,65,29,0,36,0,138.44827586206895
37,41.93493,-87.6462,2,181,1,242,4,4,364,527,394,10,105,18,182.5142857142857
21,41.9895,-87.66685,0,89,2,274,4,1,203,170,98,0,70,2,130.40816326530611
37,41.94313,-87.65613,0,386,3,142,2,4,314,527,394,10,105,18,255.4746192893401
37,41.94465,-87.65477,2,70,2,50,1,4,316,527,394,10,105,18,182.5142857142857
37,41.94276,-87.65498,2,69,2,23,1,4,316,527,394,10,105,18,182.5142857142857
7,41.93625,-87.71245,2,78,1,78,2,2,347,146,107,0,34,5,64.08823529411765
75,41.89885,-87.68007,0,279,2,156,3,3,137,714,488,18,204,4,191.13319672131146
37,41.94279,-87.65548,2,70,2,81,2,4,314,527,394,10,105,18,182.5142857142857
19,41.88373,-87.70718,0,82,2,89,2,1,169,93,36,0,57,0,120.55555555555556
75,41.90968,-87.69768,2,91,2,63,1,1,365,714,488,18,204,4,159.26470588235293
37,41.93755,-87.66932,0,650,2,148,3,1,294,527,394,10,105,18,255.4746192893401
37,41.94177,-87.65147,2,70,2,0,0,2,88,527,394,10,105,18,182.5142857142857
37,41.9402,-87.65133,2,75,2,143,2,2,365,527,394,10,105,18,182.5142857142857
60,41.99993,-87.66844,2,48,7,34,1,2,109,123,69,0,52,2,63.88461538461539
37,41.94328,-87.6487,0,375,1,6,1,2,0,527,394,10,105,18,255.4746192893401
38,41.92709,-87.66337,0,62,4,17,1,2,299,312,257,0,51,4,199.6614785992218
33,41.7998,-87.59381,2,75,1,307,5,1,304,93,51,0,42,0,85.71428571428571
37,41.94009,-87.65697,0,230,30,9,1,1,0,527,394,10,105,18,255.4746192893401
38,41.92716,-87.65788,0,89,1,359,5,1,0,312,257,0,51,4,199.6614785992218
75,41.90182,-87.68402,2,55,2,175,3,2,0,714,488,18,204,4,159.26470588235293
40,41.9293,-87.72039,0,50,31,142,2,3,308,387,304,0,81,2,159.0559210526316
41,41.88626,-87.61621,0,150,31,12,1,73,365,366,331,3,31,1,175.2688821752266
40,41.92245,-87.70345,0,130,2,224,3,1,180,387,304,0,81,2,159.0559210526316
21,41.99041,-87.66022,2,39,20,33,1,3,329,170,98,0,70,2,83.51428571428572
38,41.92529,-87.66642,0,199,2,66,1,1,365,312,257,0,51,4,199.6614785992218
60,42.00355,-87.6738,2,71,3,13,1,3,364,123,69,0,52,2,63.88461538461539
60,42.00565,-87.6633,2,103,2,117,2,1,170,123,69,0,52,2,63.88461538461539
34,41.96024,-87.72159,0,69,7,28,1,2,359,154,83,0,67,4,169.0
21,41.99783,-87.67373,0,65,30,4,1,2,310,170,98,0,70,2,130.40816326530611
47,41.88975,-87.63425,0,135,30,14,1,73,365,672,569,38,63,2,210.493848857645
47,41.89768,-87.6437,0,263,2,34,1,1,180,672,569,38,63,2,210.493848857645
60,42.02139,-87.67363,2,60,3,53,1,2,253,123,69,0,52,2,63.88461538461539
28,41.81793,-87.61796,2,85,2,11,1,1,364,104,52,0,48,4,95.20833333333333
47,41.90275,-87.6311,0,100,2,141,3,1,0,672,569,38,63,2,210.493848857645
37,41.94224,-87.65137,2,148,1,144,2,4,364,527,394,10,105,18,182.5142857142857
10,41.83514,-87.64774,0,65,5,42,1,1,75,112,79,0,32,1,133.32911392405063
32,41.89806,-87.7034,0,86,1,294,5,1,128,63,41,0,18,4,107.17073170731707
65,41.77189,-87.57458,2,100,3,2,1,1,365,90,41,0,48,1,38.5625
40,41.91999,-87.69002,2,54,2,170,3,1,0,387,304,0,81,2,73.61728395061728
75,41.89983,-87.67349,0,254,1,100,2,3,364,714,488,18,204,4,191.13319672131146
37,41.95037,-87.6457,2,101,1,37,1,2,232,527,394,10,105,18,182.5142857142857
74,42.0059,-87.68286,2,55,3,2,1,2,0,66,31,0,29,6,52.172413793103445
47,41.89422,-87.62596,0,105,30,26,1,3,285,672,569,38,63,2,210.493848857645
42,41.85531,-87.65411,0,37,1,397,6,11,0,189,119,0,68,2,113.11764705882354
33,41.7961,-87.5929,2,25,1,70,1,5,263,93,51,0,42,0,85.71428571428571
28,41.81874,-87.61439,2,115,28,6,1,7,365,104,52,0,48,4,95.20833333333333
66,41.97355,-87.66142,2,80,2,25,1,1,78,169,103,3,63,0,87.17460317460318
75,41.91088,-87.67704,0,90,14,322,5,1,331,714,488,18,204,4,191.13319672131146
18,41.94148,-87.79432,2,85,2,22,1,4,269,26,10,0,16,0,56.5625
38,41.91422,-87.63981,0,184,3,149,3,2,261,312,257,0,51,4,199.6614785992218
60,42.0061,-87.66298,2,80,2,39,1,2,304,123,69,0,52,2,63.88461538461539
60,42.00493,-87.66471,2,80,3,27,1,2,355,123,69,0,52,2,63.88461538461539
49,41.88371,-87.68629,0,96,3,68,1,1,60,314,222,0,89,3,187.6081081081081
40,41.9197,-87.67986,0,150,4,109,2,1,19,387,304,0,81,2,159.0559210526316
66,41.95717,-87.64828,0,125,2,223,4,1,345,169,103,3,63,0,183.90291262135923
75,41.90127,-87.69165,0,135,3,3,1,1,0,714,488,18,204,4,191.13319672131146
33,41.7961,-87.5929,2,26,1,52,1,5,263,93,51,0,42,0,85.71428571428571
